Species,Long,Lat,Source
Acinonyx jubatus,27.07347,-25.30297,gbif
Acinonyx jubatus,27.0277,-25.29237,gbif
Acinonyx jubatus,27.02085,-25.29597,gbif
Acinonyx jubatus,27.05657,-25.31688,gbif
Acinonyx jubatus,27.02273,-25.2998,gbif
Acinonyx jubatus,27.06007,-25.30417,gbif
Acinonyx jubatus,27.05777,-25.30965,gbif
Acinonyx jubatus,27.0575,-25.3099,gbif
Acinonyx jubatus,27.02842,-25.29367,gbif
Acinonyx jubatus,27.06057,-25.30315,gbif
Acinonyx jubatus,27.05727,-25.27923,gbif
Acinonyx jubatus,27.0507,-25.30828,gbif
Acinonyx jubatus,27.02105,-25.29487,gbif
Acinonyx jubatus,27.05772,-25.30972,gbif
Acinonyx jubatus,27.05422,-25.30773,gbif
Acinonyx jubatus,27.08237,-25.30417,gbif
Acinonyx jubatus,27.05482,-25.30878,gbif
Acinonyx jubatus,1.24072,11.25947,gbif
Acinonyx jubatus,1.90335,11.37827,gbif
Acinonyx jubatus,1.52102,11.18742,gbif
Acinonyx jubatus,1.51296,11.19684,gbif
Acinonyx jubatus,1.61256,11.38599,gbif
Acinonyx jubatus,1.47014,11.09527,gbif
Acinonyx jubatus,1.24075,11.25137,gbif
Acinonyx jubatus,1.61218,11.38677,gbif
Acinonyx jubatus,3.089473,9.873993,gbif
Acinonyx jubatus,3.089503,9.873963,gbif
Acinonyx jubatus,34.685651,-2.416213,gbif
Acinonyx jubatus,35.139883,-1.140388,gbif
Acinonyx jubatus,35.215411,-1.457106,gbif
Acinonyx jubatus,34.966942,-3.005113,gbif
Acinonyx jubatus,34.857051,-3.15522,gbif
Acinonyx jubatus,27.05973,-25.2548,gbif
Acinonyx jubatus,27.06373,-25.30335,gbif
Acinonyx jubatus,27.06403,-25.31325,gbif
Acinonyx jubatus,27.07165,-25.25437,gbif
Acinonyx jubatus,27.05702,-25.27012,gbif
Acinonyx jubatus,27.05597,-25.30503,gbif
Acinonyx jubatus,27.06615,-25.3119,gbif
Acinonyx jubatus,27.05558,-25.25465,gbif
Acinonyx jubatus,-48.45,12.666667,bison
Acinonyx jubatus,-83.0833,40.1667,bison
